matchId,teamId,win,gold_avg,gold_per_sec_avg,cs_avg,jungle_cs_avg,level_avg,xp_avg,total_damage_done_avg,total_damage_taken_avg,damage_to_champions_avg,wards_placed_avg,wards_killed_avg,vision_score_avg,kills_avg,deaths_avg,assists_avg,towers,dragons,herald,first_blood,first_tower,first_dragon,first_herald
EUN1_3878186711,100,1,5713.4,10.0,61.0,18.6,9.2,5964.2,51261.4,9853.6,7416.4,0.0,0.0,0.0,2.6,2.6,2.6,1,0,0,0,1,0,0
EUN1_3878186711,200,0,5394.8,10.0,71.4,14.4,9.4,6173.6,51665.4,10700.6,7540.8,0.0,0.0,0.0,2.6,2.6,1.4,1,1,0,1,1,1,0
EUN1_3860999737,100,1,5563.2,10.0,68.4,12.8,9.6,6109.8,43553.4,9579.8,6592.0,0.0,0.0,0.0,3.2,2.6,3.2,1,1,0,0,1,1,0
EUN1_3860999737,200,0,5659.4,10.0,68.4,18.6,9.6,6184.6,55013.0,10767.0,7394.2,0.0,0.0,0.0,2.6,3.2,2.2,1,1,0,1,1,1,0
EUN1_3879724406,100,1,5969.6,10.0,73.2,18.8,9.8,6601.2,58571.4,10381.4,6824.6,0.0,0.0,0.0,3.6,2.8,2.0,0,1,0,1,0,1,0
EUN1_3879724406,200,0,5209.8,10.0,66.0,11.2,9.4,6014.0,41771.8,8914.0,5987.0,0.0,0.0,0.0,2.8,3.6,1.8,2,0,0,0,1,0,0
EUN1_3882917284,100,1,5476.8,10.0,73.6,14.8,9.2,5717.6,44816.4,6431.0,4974.4,0.0,0.0,0.0,2.2,0.4,3.0,0,1,0,1,0,1,0
EUN1_3882917284,200,0,4308.8,10.0,59.6,23.2,9.0,5555.4,47234.4,8031.6,2996.8,0.0,0.0,0.0,0.4,2.2,0.4,2,0,0,0,1,0,0
EUN1_3883072715,100,0,5018.2,10.0,62.8,18.8,9.2,6062.0,52324.6,9683.8,6432.8,0.0,0.0,0.0,2.0,2.8,1.0,0,0,0,1,0,0,0
EUN1_3883072715,200,1,5497.4,10.0,61.8,15.2,9.4,6067.2,45692.0,9265.8,6661.4,0.0,0.0,0.0,2.8,2.0,3.4,1,1,0,0,1,1,0
